epoch: 192909, loss: 9.88, wins per 10: 5, avg piece diff: -2.4
epoch: 192919, loss: 9.63, wins per 10: 4, avg piece diff: -0.4
epoch: 192929, loss: 12.38, wins per 10: 2, avg piece diff: -5.6
epoch: 192939, loss: 8.28, wins per 10: 4, avg piece diff: -2.6
epoch: 192949, loss: 6.90, wins per 10: 5, avg piece diff: 1.4
epoch: 192959, loss: 5.42, wins per 10: 2, avg piece diff: -4.4
epoch: 192969, loss: 6.17, wins per 10: 4, avg piece diff: -7.4
epoch: 192979, loss: 10.68, wins per 10: 6, avg piece diff: 3.4
epoch: 192989, loss: 8.45, wins per 10: 6, avg piece diff: 2.6
epoch: 192999, loss: 4.75, wins per 10: 5, avg piece diff: -2.0
epoch: 193009, loss: 3.13, wins per 10: 4, avg piece diff: -4.6
epoch: 193019, loss: 7.21, wins per 10: 4, avg piece diff: -0.4
epoch: 193029, loss: 8.79, wins per 10: 4, avg piece diff: 2.6
epoch: 193039, loss: 5.61, wins per 10: 4, avg piece diff: -3.8
epoch: 193049, loss: 8.17, wins per 10: 4, avg piece diff: -3.4
epoch: 193059, loss: 5.68, wins per 10: 4, avg piece diff: -5.2
epoch: 193069, loss: 6.22, wins per 10: 5, avg piece diff: 1.6
epoch: 193079, loss: 7.91, wins per 10: 6, avg piece diff: 1.8
epoch: 193089, loss: 6.09, wins per 10: 2, avg piece diff: -10.2
epoch: 193099, loss: 4.01, wins per 10: 4, avg piece diff: -0.6
epoch: 193109, loss: 6.69, wins per 10: 5, avg piece diff: 2.4
epoch: 193119, loss: 6.78, wins per 10: 6, avg piece diff: 1.2
epoch: 193129, loss: 5.09, wins per 10: 4, avg piece diff: -2.6
epoch: 193139, loss: 8.94, wins per 10: 2, avg piece diff: -7.2
epoch: 193149, loss: 3.90, wins per 10: 2, avg piece diff: -7.6
epoch: 193159, loss: 5.77, wins per 10: 3, avg piece diff: -5.8
epoch: 193169, loss: 5.57, wins per 10: 5, avg piece diff: 3.0
epoch: 193179, loss: 4.80, wins per 10: 6, avg piece diff: 0.0
epoch: 193189, loss: 14.90, wins per 10: 2, avg piece diff: -10.4
epoch: 193199, loss: 7.76, wins per 10: 6, avg piece diff: 2.6
epoch: 193209, loss: 5.00, wins per 10: 5, avg piece diff: -2.0
epoch: 193219, loss: 3.40, wins per 10: 2, avg piece diff: -6.6
epoch: 193229, loss: 5.10, wins per 10: 7, avg piece diff: 1.4
epoch: 193239, loss: 6.12, wins per 10: 3, avg piece diff: -8.2
epoch: 193249, loss: 10.49, wins per 10: 3, avg piece diff: -3.8
epoch: 193259, loss: 10.98, wins per 10: 2, avg piece diff: -7.4
epoch: 193269, loss: 5.75, wins per 10: 2, avg piece diff: -5.6
epoch: 193279, loss: 6.72, wins per 10: 2, avg piece diff: -6.2
epoch: 193289, loss: 7.93, wins per 10: 1, avg piece diff: -10.2
epoch: 193299, loss: 4.95, wins per 10: 3, avg piece diff: -4.6
epoch: 193309, loss: 5.60, wins per 10: 4, avg piece diff: -2.8
epoch: 193319, loss: 6.47, wins per 10: 2, avg piece diff: -1.2
epoch: 193329, loss: 7.03, wins per 10: 4, avg piece diff: -0.2
epoch: 193339, loss: 5.30, wins per 10: 3, avg piece diff: -4.2
epoch: 193349, loss: 4.79, wins per 10: 1, avg piece diff: -6.0
epoch: 193359, loss: 9.18, wins per 10: 2, avg piece diff: -10.0
epoch: 193369, loss: 10.77, wins per 10: 2, avg piece diff: -2.8
epoch: 193379, loss: 6.66, wins per 10: 4, avg piece diff: -5.0
epoch: 193389, loss: 13.63, wins per 10: 7, avg piece diff: 1.8
epoch: 193399, loss: 9.90, wins per 10: 3, avg piece diff: -2.4
epoch: 193409, loss: 3.52, wins per 10: 4, avg piece diff: -2.8
epoch: 193419, loss: 3.89, wins per 10: 4, avg piece diff: -4.0
epoch: 193429, loss: 6.71, wins per 10: 2, avg piece diff: -12.2
epoch: 193439, loss: 5.39, wins per 10: 3, avg piece diff: -4.0
epoch: 193449, loss: 7.66, wins per 10: 3, avg piece diff: -7.4
epoch: 193459, loss: 5.35, wins per 10: 3, avg piece diff: -5.6
epoch: 193469, loss: 4.40, wins per 10: 3, avg piece diff: -7.0
epoch: 193479, loss: 6.31, wins per 10: 3, avg piece diff: -4.4
epoch: 193489, loss: 2.65, wins per 10: 4, avg piece diff: -0.4
epoch: 193499, loss: 11.82, wins per 10: 6, avg piece diff: 3.4
epoch: 193509, loss: 11.75, wins per 10: 2, avg piece diff: -9.8
epoch: 193519, loss: 5.49, wins per 10: 4, avg piece diff: 0.0
epoch: 193529, loss: 4.48, wins per 10: 3, avg piece diff: -4.4
epoch: 193539, loss: 5.55, wins per 10: 3, avg piece diff: -5.0
epoch: 193549, loss: 3.89, wins per 10: 0, avg piece diff: -12.6
epoch: 193559, loss: 7.33, wins per 10: 2, avg piece diff: -7.2
epoch: 193569, loss: 15.72, wins per 10: 7, avg piece diff: 2.4
epoch: 193579, loss: 5.63, wins per 10: 0, avg piece diff: -7.4
epoch: 193589, loss: 8.78, wins per 10: 3, avg piece diff: -4.8
epoch: 193599, loss: 8.24, wins per 10: 2, avg piece diff: -7.6
epoch: 193609, loss: 5.44, wins per 10: 5, avg piece diff: 1.4
epoch: 193619, loss: 6.20, wins per 10: 2, avg piece diff: -8.8
epoch: 193629, loss: 4.10, wins per 10: 3, avg piece diff: -2.2
epoch: 193639, loss: 6.61, wins per 10: 3, avg piece diff: -6.0
epoch: 193649, loss: 5.80, wins per 10: 2, avg piece diff: -8.6
epoch: 193659, loss: 5.44, wins per 10: 1, avg piece diff: -6.4
epoch: 193669, loss: 4.29, wins per 10: 1, avg piece diff: -9.8
epoch: 193679, loss: 5.91, wins per 10: 3, avg piece diff: -6.8
epoch: 193689, loss: 4.37, wins per 10: 3, avg piece diff: -8.8
epoch: 193699, loss: 3.11, wins per 10: 1, avg piece diff: -5.8
epoch: 193709, loss: 8.88, wins per 10: 5, avg piece diff: 0.0
epoch: 193719, loss: 4.58, wins per 10: 4, avg piece diff: -1.8
epoch: 193729, loss: 7.96, wins per 10: 3, avg piece diff: -3.2
epoch: 193739, loss: 7.89, wins per 10: 2, avg piece diff: -3.0
epoch: 193749, loss: 7.77, wins per 10: 5, avg piece diff: 2.2
epoch: 193759, loss: 5.91, wins per 10: 2, avg piece diff: -6.0
epoch: 193769, loss: 5.49, wins per 10: 2, avg piece diff: -5.0
epoch: 193779, loss: 5.70, wins per 10: 2, avg piece diff: -7.0
